t=2026-06-06T20:11:12+0600 lvl=info msg="no configuration paths supplied"
t=2026-06-06T20:11:12+0600 lvl=info msg="using configuration at default config path" path=C:\\Users\\User\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-06-06T20:11:12+0600 lvl=info msg="open config file" path=C:\\Users\\User\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-06-06T20:11:12+0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-06T20:11:12+0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-06T20:11:13+0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-06T20:11:13+0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-06T20:27:36+0600 lvl=info msg="join connections" obj=join id=506a7a803d17 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:27:36+0600 lvl=info msg="join connections" obj=join id=d9a35a8a8244 l=[::1]:5173 r=46.251.201.162:61880
t=2026-06-06T20:27:36+0600 lvl=info msg="join connections" obj=join id=db15b065b154 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:27:36+0600 lvl=info msg="join connections" obj=join id=a80c1117c819 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:27:36+0600 lvl=info msg="join connections" obj=join id=69b7128e0943 l=[::1]:5173 r=178.217.173.234:54011
t=2026-06-06T20:27:37+0600 lvl=info msg="join connections" obj=join id=5e53ea33761d l=[::1]:5173 r=178.217.173.234:53496
t=2026-06-06T20:27:38+0600 lvl=info msg="join connections" obj=join id=28bdec15e957 l=[::1]:5173 r=46.251.201.162:61881
t=2026-06-06T20:27:41+0600 lvl=info msg="join connections" obj=join id=99bc722ace6c l=[::1]:5173 r=178.217.173.234:56243
t=2026-06-06T20:28:26+0600 lvl=info msg="join connections" obj=join id=f348c1ca5b5d l=[::1]:5173 r=178.217.173.234:56253
t=2026-06-06T20:28:26+0600 lvl=info msg="join connections" obj=join id=7bf27c950749 l=[::1]:5173 r=178.217.173.234:55032
t=2026-06-06T20:28:28+0600 lvl=info msg="join connections" obj=join id=e744b2a9484a l=[::1]:5173 r=46.251.201.162:61882
t=2026-06-06T20:28:28+0600 lvl=info msg="join connections" obj=join id=2da0cc37a704 l=[::1]:5173 r=178.217.173.234:53747
t=2026-06-06T20:28:34+0600 lvl=info msg="join connections" obj=join id=68392e337564 l=[::1]:5173 r=46.251.201.162:61883
t=2026-06-06T20:28:37+0600 lvl=info msg="join connections" obj=join id=dffaddf2ecc2 l=[::1]:5173 r=46.251.201.162:61852
